Country Name;Country Code;GDP per capita, PPP (current international $) [2023];Individuals using the Internet (% of population) [2023];InternetCost_BroadbandCostPerMonth_USD_2024;Starlink Available;Starlink Price
Albania;ALB;21263,20;83,10;18,32;yes;75
Argentina;ARG;30082,30;89,20;5,17;yes;47
Australia;AUS;70497,15;97,10;52,21;yes;90
Austria;AUT;70478,79;95,30;32,67;yes;57
Barbados;BRB;21336,16;80,00;86,44;yes;55
Belgium;BEL;69072,83;94,60;58,4;yes;57
Benin;BEN;4129,98;32,20;55,11;yes;56
Botswana;BWA;20916,40;81,40;68,92;yes;51
Brazil;BRA;21107,28;84,20;21,18;yes;42
Bulgaria;BGR;37507,77;80,40;10,47;yes;55
Canada;CAN;63524,70;94,00;58,26;yes;102
Chile;CHL;32802,87;94,50;21,86;yes;50
Colombia;COL;20784,50;77,30;20,47;yes;60
Costa Rica;CRI;28075,14;85,40;46,27;yes;45
Croatia;HRV;45602,96;83,20;21,94;yes;57
Cyprus;CYP;57213,82;91,20;42,82;yes;57
Denmark;DNK;73737,45;98,80;38,19;yes;57
Dominican Republic;DOM;25624,01;84,60;33,51;yes;49
Ecuador;ECU;16062,02;72,70;31,42;yes;45
El Salvador;SLV;12657,03;67,70;43,36;yes;59
Estonia;EST;46790,27;93,20;31,21;yes;57
Eswatini;SWZ;11245,15;57,60;15,9;yes;53
Finland;FIN;61734,46;93,50;38,15;yes;57
France;FRA;58317,83;86,80;33,16;yes;57
Georgia;GEO;25071,97;81,90;14,21;yes;58
Germany;DEU;69205,88;92,50;36,14;yes;57
Ghana;GHA;7543,03;69,90;57,65;yes;75
Greece;GRC;41181,99;85,00;34,86;yes;57
Honduras;HND;7178,81;58,30;58;yes;46
Hungary;HUN;45021,30;91,50;20,01;yes;48
Indonesia;IDN;15415,61;69,20;28,05;yes;46
Ireland;IRL;124900,94;96,50;42,8;yes;57
Italy;ITA;57801,37;87,00;30,97;yes;57
Jamaica;JAM;11421,75;83,40;48,11;yes;44
Japan;JPN;49793,94;87,00;38,27;yes;45
Kenya;KEN;6307,23;35,00;47,73;yes;50
Latvia;LVA;41491,51;92,20;16,59;yes;57
Lithuania;LTU;50914,86;88,50;16,94;yes;57
Luxembourg;LUX;139466,40;99,30;52,93;yes;57
Madagascar;MDG;1823,82;20,40;56,31;yes;50
Malaysia;MYS;36416,54;97,70;31,44;yes;52
Maldives;MDV;24735,08;84,70;75,58;yes;65
Malta;MLT;63419,82;92,10;27,01;yes;57
Mexico;MEX;24789,68;81,20;32,35;yes;65
Moldova;MDA;17596,88;80,20;9,19;yes;67
Mongolia;MNG;18004,85;83,00;12,55;yes;62
Mozambique;MOZ;1677,68;19,80;118,26;yes;47
Netherlands;NLD;78305,29;97,00;46,81;yes;57
New Zealand;NZL;53440,13;96,20;48,6;yes;96
Nigeria;NGA;6207,42;39,20;21,89;yes;37
North Macedonia;MKD;24390,49;87,20;15,56;yes;69
Norway;NOR;100928,35;99,00;80,18;yes;57
Panama;PAN;39803,32;78,00;37,67;yes;55
Paraguay;PRY;17516,80;78,10;21,44;yes;41
Peru;PER;16974,24;79,50;24,86;yes;47
Philippines;PHL;10988,63;83,80;35,55;yes;68
Poland;POL;46570,47;86,40;17,71;yes;57
Portugal;PRT;47331,10;85,80;32,1;yes;57
Romania;ROU;45777,04;89,20;8,6;yes;52
Rwanda;RWA;3396,16;34,20;43,22;yes;42
Samoa;WSM;6996,84;58,10;133,53;yes;51
Sierra Leone;SLE;3367,51;20,60;75,8;yes;47
Slovenia;SVN;53952,20;90,40;40,29;yes;57
Solomon Islands;SLB;2812,38;42,50;457,84;yes;50
Spain;ESP;53229,92;95,40;31,99;yes;57
Sweden;SWE;67198,02;95,70;34,05;yes;57
Switzerland;CHE;89546,28;97,30;68,38;yes;60
Timor-Leste;TLS;4803,97;34,00;107,33;yes;50
Trinidad and Tobago;TTO;35188,53;84,70;66,53;yes;54
Ukraine;UKR;17630,13;82,40;7,35;yes;75
United Kingdom;GBR;58225,13;96,30;38,79;yes;101
United States;USA;82769,41;93,10;65;yes;120
Uruguay;URY;34426,60;89,90;55,35;yes;46
Vanuatu;VUT;3460,93;45,70;94,44;yes;47
Zambia;ZMB;4077,00;33,00;44,36;yes;47
Zimbabwe;ZWE;3820,36;38,40;9,64;yes;50
